county,avg_monthly_rainfall,annual_rainfall,mean_temp,max_temp,drought_frequency,spi_3_mean,dry_days_mean,mam_rainfall,ond_rainfall,ipc_phase,ipc_phase_label,wfp_region
Baringo,78.87472222222222,946.4966666666669,22.178556579621095,29.30677639102236,0.3611111111111111,-0.10893779282598032,13.63888888888889,99.10888888888888,83.2988888888889,2,Stressed,Rift Valley
Bungoma,142.13722222222222,1705.646666666667,22.16799089008363,27.9375530593958,0.3611111111111111,-0.10157659792467941,12.0,211.65666666666667,125.38555555555556,1,Minimal,Rift Valley
Busia,142.13722222222222,1705.646666666667,22.16799089008363,27.9375530593958,0.3611111111111111,-0.10157659792467941,12.0,211.65666666666667,125.38555555555556,1,Minimal,Rift Valley
Elgeyo Marakwet,34.26444444444444,411.17333333333323,21.258389656938043,28.23200189878819,0.8611111111111112,-0.11616014932853343,22.52777777777778,42.18666666666667,24.336666666666666,1,Minimal,Rift Valley
Embu,91.61111111111111,1099.3333333333335,20.37354896313364,27.434406105990785,0.3888888888888889,0.13041212388183668,12.86111111111111,127.50222222222222,137.48555555555555,2,Stressed,Eastern
Garissa,51.63333333333333,619.6000000000001,27.67337177846049,34.2013423792456,0.8055555555555556,-0.10350513193716683,22.694444444444443,78.32555555555555,96.41000000000001,3,Crisis,North Eastern
Homa Bay,190.64916666666667,2287.79,23.677563598736988,27.605047000341354,0.2222222222222222,0.08974774350002412,10.63888888888889,312.74666666666667,246.81666666666666,1,Minimal,Nyanza
Isiolo,74.04194444444445,888.5033333333336,22.936082543949478,29.86059909967571,0.6388888888888888,-0.03091761327065314,17.416666666666668,110.19333333333333,102.61888888888889,3,Crisis,Eastern
Kajiado,43.49305555555556,521.9166666666667,20.702851233145587,28.22194226830517,0.8611111111111112,0.010227520711653115,21.305555555555557,62.51222222222222,67.25333333333333,2,Stressed,Rift Valley
Kakamega,175.42472222222221,2105.0966666666664,18.9217448583376,24.47134882232463,0.25,-0.04882998891470164,9.777777777777779,227.0622222222222,136.26777777777775,1,Minimal,Rift Valley
Kericho,192.94666666666666,2315.36,20.00986693548387,25.170992511520737,0.19444444444444445,0.10848132306585916,9.722222222222221,301.25333333333333,245.6611111111111,1,Minimal,Rift Valley
Kiambu,52.44888888888889,629.3866666666667,19.12003437019969,26.318888248847927,0.7777777777777778,0.03747433702615613,20.583333333333332,68.47333333333333,95.96111111111111,1,Minimal,Central
Kilifi,89.50333333333333,1074.0400000000002,26.781430342208566,29.296027265745003,0.5555555555555556,-0.04484424922483716,17.805555555555557,145.74666666666667,104.23111111111112,2,Stressed,Coast
Kirinyaga,91.61111111111111,1099.3333333333335,20.37354896313364,27.434406105990785,0.3888888888888889,0.13041212388183668,12.86111111111111,127.50222222222222,137.48555555555555,1,Minimal,Central
Kisii,192.94666666666666,2315.36,20.00986693548387,25.170992511520737,0.19444444444444445,0.10848132306585916,9.722222222222221,301.25333333333333,245.6611111111111,1,Minimal,Nyanza
Kisumu,205.94833333333335,2471.3800000000006,20.38768591056494,25.34277003328213,0.1388888888888889,-0.03185374106804834,8.333333333333334,300.2422222222222,228.7588888888889,1,Minimal,Nyanza
Kitui,49.13055555555556,589.5666666666667,23.866758981908177,31.602214733742958,0.8333333333333334,0.02768262861912277,21.305555555555557,69.80555555555556,91.53666666666668,3,Crisis,Eastern
Kwale,101.31805555555555,1215.8166666666666,26.01758130653695,31.285716739204645,0.5833333333333334,-0.0647239992182384,17.416666666666668,168.13444444444445,107.72888888888889,2,Stressed,Coast
Laikipia,51.257222222222225,615.0866666666667,20.281295528247142,27.810753626898787,0.75,0.011914895887869656,18.88888888888889,69.19777777777777,68.78,2,Stressed,Rift Valley
Lamu,88.01527777777778,1056.1833333333332,27.095480670762928,29.711173877794845,0.6388888888888888,-0.057402530449605416,18.0,150.60777777777778,105.27,3,Crisis,Coast
Machakos,49.25888888888889,591.1066666666667,21.225364225977128,28.72244873271889,0.7777777777777778,0.006341456468133953,20.22222222222222,68.17888888888889,83.35111111111112,1,Minimal,Eastern
Makueni,107.10277777777777,1285.2333333333336,21.80788150708312,28.839053422085684,0.6388888888888888,-0.009231395547757863,16.583333333333332,122.97222222222223,136.26444444444445,3,Crisis,Eastern
Mandera,53.66555555555556,643.9866666666667,28.825068825738178,35.22755884109917,0.8888888888888888,-0.029461776488753366,24.833333333333332,90.94666666666666,104.17222222222223,3,Crisis,North Eastern
Marsabit,44.59833333333333,535.18,26.78284436337259,33.332083589349715,0.8888888888888888,-0.04584536974693221,24.194444444444443,59.23444444444445,73.86666666666667,3,Crisis,Eastern
Meru,125.26416666666667,1503.17,17.21200424560505,23.25148779655231,0.25,0.05757911356100211,10.416666666666666,189.98777777777775,157.42,3,Crisis,Eastern
Migori,133.91416666666666,1606.9699999999996,22.112128136200717,28.15103680235535,0.4444444444444444,0.07056289717498136,15.222222222222221,206.43444444444447,157.9,1,Minimal,Nyanza
Mombasa,101.31805555555555,1215.8166666666666,26.01758130653695,31.285716739204645,0.5833333333333334,-0.0647239992182384,17.416666666666668,168.13444444444445,107.72888888888889,1,Minimal,Coast
Muranga,126.41555555555556,1516.9866666666667,16.108655039255847,22.460809993172898,0.19444444444444445,0.1035705350217876,9.416666666666666,183.92777777777778,164.79666666666668,1,Minimal,Central
Nairobi,34.638333333333335,415.65999999999997,20.410738180576892,28.012929531490016,0.8611111111111112,0.027082478393035687,22.27777777777778,50.08,53.15555555555556,1,Minimal,Nairobi
Nakuru,118.28722222222223,1419.4466666666663,15.35657309267793,21.515386691414918,0.3055555555555556,0.10337510457302845,10.805555555555555,164.67999999999998,152.32,1,Minimal,Rift Valley
Nandi,205.94833333333335,2471.3800000000006,20.38768591056494,25.34277003328213,0.1388888888888889,-0.03185374106804834,8.333333333333334,300.2422222222222,228.7588888888889,1,Minimal,Rift Valley
Narok,70.93666666666667,851.24,18.49564883085851,25.774394393241167,0.75,-0.02110045548613503,18.583333333333332,102.96777777777778,73.50444444444445,2,Stressed,Rift Valley
Nyamira,192.94666666666666,2315.36,20.00986693548387,25.170992511520737,0.19444444444444445,0.10848132306585916,9.722222222222221,301.25333333333333,245.6611111111111,1,Minimal,Nyanza
Nyandarua,122.87916666666666,1474.55,17.754048344427375,24.62368034220857,0.25,0.0699243271185952,9.972222222222221,187.58666666666667,144.79222222222222,1,Minimal,Central
